length,highway,geometry
9.958446188721222,secondary,"LINESTRING (73.0298567 33.6901034, 73.0298653 33.6901246, 73.0298831 33.6901414, 73.0299073 33.6901513, 73.0299341 33.6901528)"
431.98538580821855,primary,"LINESTRING (73.0819629 33.7039215, 73.081799 33.704126, 73.0794842 33.7072139)"
14.856045773733035,secondary,"LINESTRING (73.0191255 33.6886451, 73.0190406 33.6887585)"
164.98101322399432,secondary,"LINESTRING (73.0191255 33.6886451, 73.0176455 33.6878905, 73.0176039 33.6878716)"
52.9467701116875,primary,"LINESTRING (73.0183822 33.690471, 73.0184975 33.6903784, 73.0185686 33.690288, 73.0186174 33.6901921, 73.0186464 33.6900637)"
120.71315571920803,primary,"LINESTRING (73.0183822 33.690471, 73.0185791 33.6904661, 73.0187501 33.6905054, 73.0195512 33.690899)"
58.170694170286886,secondary,"LINESTRING (73.0126409 33.6757418, 73.0131732 33.6760201)"
257.27166709309273,residential,"LINESTRING (73.0126409 33.6757418, 73.0112824 33.6774636, 73.0110168 33.6773386)"
8.287049443626758,primary,"LINESTRING (73.0543329 33.7079701, 73.0542874 33.7080343)"
123.87993222407097,secondary,"LINESTRING (73.0281508 33.6860744, 73.0292854 33.6866659)"
14.006233675736972,residential,"LINESTRING (73.0281508 33.6860744, 73.0282098 33.6859584)"
205.93113691478047,residential,"LINESTRING (73.0281508 33.6860744, 73.0270833 33.6875274, 73.0269931 33.6876561)"
809.8461176876874,secondary,"LINESTRING (73.0540411 33.7069356, 73.0521611 33.7059532, 73.0511044 33.705401, 73.0510024 33.7053473, 73.0504671 33.7050719, 73.0503669 33.7050203, 73.0494354 33.7045172, 73.0466367 33.7030498)"
12.11934833451576,secondary,"LINESTRING (73.0325997 33.6916007, 73.0326684 33.6915079)"
13.871247584926481,tertiary,"LINESTRING (73.0884332 33.7268042, 73.0883511 33.7269086)"
37.86689595688774,primary,"LINESTRING (73.0884332 33.7268042, 73.0881143 33.7265906)"
15.484843220671388,unclassified,"LINESTRING (73.2202506 33.7646322, 73.2202877 33.7644964)"
160.94522638538598,primary,"LINESTRING (73.2202506 33.7646322, 73.2206836 33.7649924, 73.2211357 33.7653149, 73.2213986 33.7654621, 73.221598 33.7655308)"
115.10069782562498,unclassified,"LINESTRING (73.2202506 33.7646322, 73.220177 33.7647622, 73.2199658 33.7648325, 73.2195754 33.7649785, 73.2194842 33.7650361, 73.2193706 33.7652689)"
471.0823485939044,trunk,"LINESTRING (73.1443234 33.729441, 73.1454277 33.7300437, 73.1464335 33.7305903, 73.1485713 33.7317792)"
217.57936250233197,residential,"LINESTRING (73.1443234 33.729441, 73.1440276 33.7295775, 73.1436038 33.7297069, 73.143121 33.7297471, 73.143003 33.7298854, 73.1427294 33.7301664, 73.1423485 33.7303482)"
115.02785289030174,trunk,"LINESTRING (73.2199014 33.7634191, 73.2196999 33.7632864, 73.2195892 33.763205, 73.2194864 33.7630842, 73.2193834 33.762896, 73.2192952 33.7627236, 73.2192509 33.7625722)"
39.303868853116754,trunk,"LINESTRING (73.2199014 33.7634191, 73.2197667 33.7634202, 73.2196363 33.7634909, 73.2195652 33.7635861)"
68.88461219921064,residential,"LINESTRING (73.0441901 33.7230894, 73.0445824 33.7225628)"
164.72716486191027,residential,"LINESTRING (73.0441901 33.7230894, 73.0440889 33.7232251, 73.0432518 33.7243486)"
222.28475165228988,residential,"LINESTRING (73.0441901 33.7230894, 73.0442789 33.7231357, 73.0462257 33.7241523)"
82.31215407779068,secondary,"LINESTRING (73.0614481 33.7327061, 73.0619203 33.7320786)"
10.648115185019174,secondary,"LINESTRING (73.0614481 33.7327061, 73.0614024 33.732677, 73.0613498 33.7326575)"
17.27558850466204,secondary_link,"LINESTRING (73.0698538 33.6846851, 73.0699445 33.6845493)"
453.16879016803387,secondary,"LINESTRING (73.0698538 33.6846851, 73.0699061 33.6846974, 73.0699772 33.6847052, 73.0700348 33.6846907, 73.0700798 33.6846575, 73.0702373 33.6844731, 73.071293 33.6830254, 73.0715947 33.6826235, 73.0723625 33.6816008, 73.0725374 33.6813721)"
17.27558850466204,secondary_link,"LINESTRING (73.0699445 33.6845493, 73.0698538 33.6846851)"
196.4630950300127,secondary,"LINESTRING (73.0699445 33.6845493, 73.0698701 33.6845254, 73.0697284 33.684472, 73.0694649 33.6843403, 73.0692114 33.6842041, 73.0690075 33.6840881, 73.0687058 33.6838448, 73.0682676 33.6834896)"
151.11932999995838,residential,"LINESTRING (73.0829814 33.7171269, 73.0816112 33.7163866)"
49.70997295275893,tertiary,"LINESTRING (73.0829814 33.7171269, 73.0827026 33.7175091)"
59.865615460460226,tertiary,"LINESTRING (72.9935046 33.6817927, 72.9936968 33.6816818, 72.9939175 33.6815673, 72.9940438 33.6814954)"
114.55582343372502,residential,"LINESTRING (72.9935046 33.6817927, 72.9935679 33.6819287, 72.9935691 33.6827087, 72.9935503 33.6828119)"
89.79941817715482,secondary,"LINESTRING (73.0566218 33.7510031, 73.0565849 33.7510398, 73.0565567 33.751061, 73.0565081 33.7510845, 73.0564531 33.7511057, 73.0563694 33.7511463, 73.0562493 33.7511962, 73.0561647 33.7512745, 73.0561651 33.751303, 73.0561779 33.7513398, 73.0562028 33.7513936, 73.0562383 33.75146, 73.0562788 33.7515178, 73.056312 33.7515816)"
